,Female,Male,Asian,Black,Hispanic,White,Ethnicity Unclear,Office worker,Warehouse worker,Engineer,Mechanic,Software developer,Construction worker,Nurse,Teacher,Receptionist,Social worker,Chef,Artist,Photographer,Scientist,Job Unclear
Female,1.0,-0.8016708138083981,0.11615389887007939,0.0851879975735644,-0.12005041071700624,-0.08635519133092014,0.11879516696711105,0.019067587943540364,-0.1153424291237232,-0.019724440947812054,-0.06526367922333448,-0.07144013851540648,-0.07006849420794484,0.0957892846022687,0.19018314587091437,0.13850156022737597,0.1491782944292925,-0.05682023098362266,0.022690033581149353,-0.08010448767003508,0.03840059115245185,-0.15745355892125626
Male,-0.8016708138083981,1.0,-0.022548878858092758,0.00977316703023615,-0.02568636243457733,0.034830304625269766,-0.088669582987153,-0.06422533644005163,0.14867943520104432,0.051251433120265574,0.06774393009364987,0.07321181500045881,0.0732894144192995,-0.08896692577966678,-0.14094446544072164,-0.15398345814555844,-0.11096495084266439,0.06323845983512051,-0.0177288703483721,0.07909880931325369,-0.03987942038688982,0.09943031507082181
Asian,0.11615389887007939,-0.022548878858092758,1.0,-0.293688501850711,-0.27543728696465236,-0.36750858126508246,-0.09800203845961471,0.0689559352559384,0.029806032456134984,-0.035449790542526956,-0.006740161489716822,-0.01825588277907215,-0.004486601169558836,-0.008157823657664723,-0.016234395724362038,-0.01900818460838324,-0.038003443922532555,-0.0016041982163046897,0.0007180723342190424,0.005328274069598712,-0.01230370050332555,-0.02536943287281817
Black,0.0851879975735644,0.00977316703023615,-0.293688501850711,1.0,-0.3014389073949371,-0.34132499154775653,-0.10059663308013862,-0.003203475262924635,-0.011911536077496601,0.0033653163060796206,-0.015013976989788336,-0.033263678892419095,-0.017136199648533662,0.0006783786766605794,0.01118569764527234,-0.00140825951175637,0.10682237356928283,-0.007063240590664652,0.06261203221211536,-0.022202328195128462,-0.020353368542290584,0.008848989662216896
Hispanic,-0.12005041071700624,-0.02568636243457733,-0.27543728696465236,-0.3014389073949371,1.0,-0.3628049678578988,0.01790177871672505,0.0011577741964339209,-0.008425772731247814,-0.01840013751429202,-0.008635244839777394,0.005900259338651314,-0.01040735130696541,0.026146194405237723,0.0007677500718361656,0.04733975651049955,0.0032791598453096645,-0.00754645069712718,-0.03261045181050025,0.011178442394125333,-0.006232124582842708,0.009270613781138318
White,-0.08635519133092014,0.034830304625269766,-0.36750858126508246,-0.34132499154775653,-0.3628049678578988,1.0,0.0442861452756247,-0.06187136092624269,-0.009593077727496527,0.06516726083635295,0.05214137090479478,0.051074922270143576,0.05348186457648311,-0.048582164816865635,0.016755919939196177,-0.05490180948666801,-0.06021057756224371,0.03204801156059198,-0.03809382534341308,-0.02012536181090452,0.035037312945266096,-0.005907903097189419
Ethnicity Unclear,0.11879516696711105,-0.088669582987153,-0.09800203845961471,-0.10059663308013862,0.01790177871672505,0.0442861452756247,1.0,0.07319189166570132,-0.03223825580591947,-0.025152431018351063,-0.07134959483292709,-0.024163035020128214,-0.07079123423339855,0.02252142127409313,-0.030724341971438373,-0.023990538296008317,-0.004816223665555932,-0.04059300424649455,0.002482353495165062,0.11974787553193465,0.010482180042657777,0.07311199831410964
Office worker,0.019067587943540364,-0.06422533644005163,0.0689559352559384,-0.003203475262924635,0.0011577741964339209,-0.06187136092624269,0.07319189166570132,1.0,-0.05006670717157489,-0.0341587425203407,-0.11898967973433854,-0.06181910786151135,-0.11805850207215625,-0.11863846834127116,-0.039515921700858,-0.07469568636130923,-0.05326825333022442,-0.11483000874419001,-0.10406518861872835,-0.11249869678906001,-0.09360907006681338,-0.014503632063526218
Warehouse worker,-0.1153424291237232,0.14867943520104432,0.029806032456134984,-0.011911536077496601,-0.008425772731247814,-0.009593077727496527,-0.03223825580591947,-0.05006670717157489,1.0,0.1599868257253647,-0.03840928073672291,-0.036082640719599636,-0.038108701187955514,-0.038295911434239036,-0.028675035900974314,-0.029925972272622087,-0.029084426471935737,-0.038304934761636864,-0.033591728740683974,-0.037966110651649496,-0.037342198158306784,-0.027386627009616787
Engineer,-0.019724440947812054,0.051251433120265574,-0.035449790542526956,0.0033653163060796206,-0.01840013751429202,0.06516726083635295,-0.025152431018351063,-0.0341587425203407,0.1599868257253647,1.0,-0.08515981668666354,-0.08504218222868624,-0.09133848175961247,-0.09178718505131073,-0.06872798499952984,-0.07332943344475823,-0.0697092074509038,-0.0911926614974112,-0.08051225592082217,-0.09099672245810157,-0.08950133641459117,-0.029736957208399785
Mechanic,-0.06526367922333448,0.06774393009364987,-0.006740161489716822,-0.015013976989788336,-0.008635244839777394,0.05214137090479478,-0.07134959483292709,-0.11898967973433854,-0.03840928073672291,-0.08515981668666354,1.0,-0.07921315502632309,-0.08434204399080604,-0.08475637705216388,-0.06346348901972816,-0.07121871479711134,-0.06436955079746105,-0.08477634744875584,-0.07434509639151488,-0.08402646311528669,-0.08264562217031762,-0.09784695012071058
Software developer,-0.07144013851540648,0.07321181500045881,-0.01825588277907215,-0.033263678892419095,0.005900259338651314,0.051074922270143576,-0.024163035020128214,-0.06181910786151135,-0.036082640719599636,-0.08504218222868624,-0.07921315502632309,1.0,-0.07923302942685036,-0.07962226428635484,-0.05961919174710601,-0.0669046451598577,-0.06047036888368904,-0.07964102497729819,-0.06984164636528195,-0.07893656484508976,-0.07763936826258257,-0.06114559994247894
Construction worker,-0.07006849420794484,0.0732894144192995,-0.004486601169558836,-0.017136199648533662,-0.01040735130696541,0.05348186457648311,-0.07079123423339855,-0.11805850207215625,-0.038108701187955514,-0.09133848175961247,-0.08434204399080604,-0.07923302942685036,1.0,-0.08409309898288347,-0.06296684272677854,-0.0706613784256171,-0.06386581393590189,-0.08411291309712185,-0.07376329389228022,-0.08336889713427197,-0.08199886223774215,-0.11343330263698212
Nurse,0.0957892846022687,-0.08896692577966678,-0.008157823657664723,0.0006783786766605794,0.026146194405237723,-0.048582164816865635,0.02252142127409313,-0.11863846834127116,-0.038295911434239036,-0.09178718505131073,-0.08475637705216388,-0.07962226428635484,-0.08409309898288347,1.0,-0.06327616940984858,-0.0710085047680382,-0.05884205516753661,-0.08452612054543852,-0.07412565849631514,-0.0837784495797336,-0.0824016843417752,-0.10736281134523845
Teacher,0.19018314587091437,-0.14094446544072164,-0.016234395724362038,0.01118569764527234,0.0007677500718361656,0.016755919939196177,-0.030724341971438373,-0.039515921700858,-0.028675035900974314,-0.06872798499952984,-0.06346348901972816,-0.05961919174710601,-0.06296684272677854,-0.06327616940984858,1.0,-0.05316942063108929,-0.048056072507549556,-0.06329107861481803,-0.05550346862001599,-0.06273124099819619,-0.053866827855700836,-0.051737976590472676
Receptionist,0.13850156022737597,-0.15398345814555844,-0.01900818460838324,-0.00140825951175637,0.04733975651049955,-0.05490180948666801,-0.023990538296008317,-0.07469568636130923,-0.029925972272622087,-0.07332943344475823,-0.07121871479711134,-0.0669046451598577,-0.0706613784256171,-0.0710085047680382,-0.05316942063108929,1.0,-0.0539285150414685,-0.07102523587489934,-0.06228598148252691,-0.07039698621250703,-0.06924012398886108,-0.08395786105908118
Social worker,0.1491782944292925,-0.11096495084266439,-0.038003443922532555,0.10682237356928283,0.0032791598453096645,-0.06021057756224371,-0.004816223665555932,-0.05326825333022442,-0.029084426471935737,-0.0697092074509038,-0.06436955079746105,-0.06047036888368904,-0.06386581393590189,-0.05884205516753661,-0.048056072507549556,-0.0539285150414685,1.0,-0.06419467890673626,-0.05629588599613226,-0.06362684854540414,-0.06258124273964387,-0.06726057729863659
Chef,-0.05682023098362266,0.06323845983512051,-0.0016041982163046897,-0.007063240590664652,-0.00754645069712718,0.03204801156059198,-0.04059300424649455,-0.11483000874419001,-0.038304934761636864,-0.0911926614974112,-0.08477634744875584,-0.07964102497729819,-0.08411291309712185,-0.08452612054543852,-0.06329107861481803,-0.07102523587489934,-0.06419467890673626,1.0,-0.07414312407057998,-0.08379818955591195,-0.08242109992291946,-0.11341774094150121
Artist,0.022690033581149353,-0.0177288703483721,0.0007180723342190424,0.06261203221211536,-0.03261045181050025,-0.03809382534341308,0.002482353495165062,-0.10406518861872835,-0.033591728740683974,-0.08051225592082217,-0.07434509639151488,-0.06984164636528195,-0.07376329389228022,-0.07412565849631514,-0.05550346862001599,-0.06228598148252691,-0.05629588599613226,-0.07414312407057998,1.0,-0.046714608607782364,-0.07227964878019827,-0.01048885683208165
Photographer,-0.08010448767003508,0.07909880931325369,0.005328274069598712,-0.022202328195128462,0.011178442394125333,-0.02012536181090452,0.11974787553193465,-0.11249869678906001,-0.037966110651649496,-0.09099672245810157,-0.08402646311528669,-0.07893656484508976,-0.08336889713427197,-0.0837784495797336,-0.06273124099819619,-0.07039698621250703,-0.06362684854540414,-0.08379818955591195,-0.046714608607782364,1.0,-0.08169204879675657,-0.10740887841173266
Scientist,0.03840059115245185,-0.03987942038688982,-0.01230370050332555,-0.020353368542290584,-0.006232124582842708,0.035037312945266096,0.010482180042657777,-0.09360907006681338,-0.037342198158306784,-0.08950133641459117,-0.08264562217031762,-0.07763936826258257,-0.08199886223774215,-0.0824016843417752,-0.053866827855700836,-0.06924012398886108,-0.06258124273964387,-0.08242109992291946,-0.07227964878019827,-0.08169204879675657,1.0,-0.07002560312081389
Job Unclear,-0.15745355892125626,0.09943031507082181,-0.02536943287281817,0.008848989662216896,0.009270613781138318,-0.005907903097189419,0.07311199831410964,-0.014503632063526218,-0.027386627009616787,-0.029736957208399785,-0.09784695012071058,-0.06114559994247894,-0.11343330263698212,-0.10736281134523845,-0.051737976590472676,-0.08395786105908118,-0.06726057729863659,-0.11341774094150121,-0.01048885683208165,-0.10740887841173266,-0.07002560312081389,1.0
