,Female,Male,Non-binary,Asian,Black,Hispanic,White,ethnicity not clear,Office worker,Warehouse Worker,Engineer,Mechanic,Software developer,Construction worker,Nurse,Teacher,Receptionist,Social worker,Chef,Artist,Photographer,Scientist,job note clear
Female,1.0,-0.8016708138083981,-0.3297336918152416,0.11615389887007938,0.0851879975735644,-0.12005041071700621,-0.08635519133092012,0.11879516696711098,0.019067587943540312,-0.1153424291237232,-0.01972444094781204,-0.06526367922333447,-0.07144013851540651,-0.07006849420794484,0.09578928460226871,0.19018314587091437,0.13850156022737592,0.14917829442929242,-0.056820230983622676,0.02269003358114936,-0.08010448767003504,0.03840059115245184,-0.15745355892125626
Male,-0.8016708138083981,1.0,-0.2862501523979151,-0.02254887885809277,0.009773167030236141,-0.025686362434577312,0.03483030462526974,-0.088669582987153,-0.0642253364400516,0.14867943520104432,0.051251433120265553,0.06774393009364989,0.07321181500045883,0.0732894144192995,-0.08896692577966676,-0.14094446544072164,-0.15398345814555842,-0.11096495084266439,0.0632384598351205,-0.017728870348372106,0.07909880931325375,-0.03987942038688982,0.09943031507082183
Non-binary,-0.3297336918152416,-0.2862501523979151,1.0,-0.18139562887359664,-0.14594013911939346,0.2441192732713825,0.09530300911378911,-0.04765685399134485,0.07771837717361094,-0.04866717771585826,-0.04547640295833188,0.0018184260589729274,0.0028515391520914472,0.0007174824363767371,-0.00910745800940798,-0.08041256798746936,0.024899447476473362,-0.06170124796359741,-0.004707761726954481,-0.06777047663459822,0.007718170834048463,0.00017062355730780847,0.10243402745805082
Asian,0.11615389887007938,-0.02254887885809277,-0.18139562887359664,1.0,-0.29368850185071094,-0.2754372869646524,-0.36750858126508246,-0.09800203845961471,0.06895593525593839,0.029806032456134997,-0.035449790542526984,-0.006740161489716817,-0.018255882779072138,-0.004486601169558842,-0.008157823657664725,-0.01623439572436203,-0.01900818460838323,-0.03800344392253257,-0.0016041982163046762,0.00071807233421903,0.005328274069598715,-0.01230370050332555,-0.025369432872818176
Black,0.0851879975735644,0.009773167030236141,-0.14594013911939346,-0.29368850185071094,1.0,-0.3014389073949371,-0.3413249915477564,-0.1005966330801386,-0.003203475262924637,-0.0119115360774966,0.00336531630607961,-0.015013976989788342,-0.0332636788924191,-0.017136199648533662,0.0006783786766605791,0.011185697645272337,-0.00140825951175635,0.10682237356928284,-0.007063240590664636,0.06261203221211535,-0.022202328195128455,-0.020353368542290598,0.008848989662216901
Hispanic,-0.12005041071700621,-0.025686362434577312,0.2441192732713825,-0.2754372869646524,-0.3014389073949371,1.0,-0.36280496785789884,0.01790177871672506,0.0011577741964339018,-0.008425772731247805,-0.018400137514292026,-0.008635244839777392,0.0059002593386513185,-0.010407351306965417,0.026146194405237713,0.0007677500718361688,0.04733975651049955,0.0032791598453096754,-0.00754645069712719,-0.03261045181050025,0.011178442394125337,-0.0062321245828427015,0.009270613781138325
White,-0.08635519133092012,0.03483030462526974,0.09530300911378911,-0.36750858126508246,-0.3413249915477564,-0.36280496785789884,1.0,0.0442861452756247,-0.06187136092624271,-0.009593077727496534,0.06516726083635295,0.052141370904794766,0.05107492227014356,0.05348186457648315,-0.04858216481686563,0.0167559199391962,-0.05490180948666802,-0.06021057756224372,0.03204801156059195,-0.038093825343413094,-0.020125361810904515,0.03503731294526609,-0.005907903097189414
ethnicity not clear,0.11879516696711098,-0.088669582987153,-0.04765685399134485,-0.09800203845961471,-0.1005966330801386,0.01790177871672506,0.0442861452756247,1.0,0.07319189166570131,-0.03223825580591945,-0.02515243101835106,-0.07134959483292709,-0.02416303502012823,-0.07079123423339852,0.022521421274093137,-0.030724341971438383,-0.02399053829600834,-0.004816223665555923,-0.04059300424649454,0.0024823534951650705,0.11974787553193465,0.010482180042657776,0.07311199831410968
Office worker,0.019067587943540312,-0.0642253364400516,0.07771837717361094,0.06895593525593839,-0.003203475262924637,0.0011577741964339018,-0.06187136092624271,0.07319189166570131,1.0,-0.05006670717157489,-0.03415874252034072,-0.11898967973433854,-0.06181910786151138,-0.11805850207215624,-0.11863846834127116,-0.03951592170085799,-0.07469568636130926,-0.05326825333022441,-0.11483000874419004,-0.10406518861872836,-0.11249869678906002,-0.09360907006681336,-0.014503632063526185
Warehouse Worker,-0.1153424291237232,0.14867943520104432,-0.04866717771585826,0.029806032456134997,-0.0119115360774966,-0.008425772731247805,-0.009593077727496534,-0.03223825580591945,-0.05006670717157489,1.0,0.15998682572536466,-0.038409280736722916,-0.03608264071959965,-0.038108701187955514,-0.038295911434239036,-0.028675035900974307,-0.029925972272622083,-0.029084426471935747,-0.03830493476163686,-0.03359172874068398,-0.037966110651649496,-0.037342198158306784,-0.027386627009616787
