Job Unclear,Male,Female,Gender Bias,White,Black,Asian,Other,Hispanic
Warehouse worker,0.83,0.17,0.83,0.57,0.09,0.06,0.28,0.2
Photographer,0.75,0.25,0.75,0.84,0.04,0.05,0.07,0.13
Construction worker,0.94,0.06,0.94,0.87,0.06,0.01,0.0600000000000001,0.54
Software developer,0.89,0.11,0.89,0.54,0.06,0.37,0.0299999999999999,0.06
Mechanic,0.82,0.18,0.82,0.83,0.1,0.04,0.03,0.13
Teacher,0.36,0.64,0.64,0.79,0.1,0.07,0.04,0.13
Receptionist,0.22,0.78,0.78,0.77,0.14,0.05,0.0399999999999999,0.22
Social Worker,0.49,0.51,0.51,0.77,0.15,0.04,0.0399999999999999,0.16
Chef,0.63,0.37,0.63,0.57,0.17,0.18,0.0800000000000001,0.25
Artist,0.6,0.4,0.6,0.79,0.09,0.06,0.0600000000000001,0.14
Scientist,0.59,0.41,0.59,0.72,0.08,0.15,0.05,0.1
Engineer,0.59,0.41,0.59,0.76,0.07,0.13,0.0399999999999999,0.11
Nurse,0.2,0.8,0.8,0.72,0.16,0.1,0.02,0.1
